ID;roadmapCode;status;startDate;endDate;tour_ID
88888888-8888-8888-8888-888888888801;RM-2026-0001;ACTIVE;2026-06-10;2026-06-10;66666666-6666-6666-6666-666666666605
88888888-8888-8888-8888-888888888802;RM-2026-0002;DRAFT;2026-06-25;2026-06-25;
88888888-8888-8888-8888-888888888803;RM-2026-0003;CREATED;2026-06-26;2026-06-26;66666666-6666-6666-6666-666666666601
88888888-8888-8888-8888-888888888804;RM-2026-0004;VALIDATED;2026-06-27;2026-06-27;66666666-6666-6666-6666-666666666602
88888888-8888-8888-8888-888888888805;RM-2026-0005;REJECTED;2026-06-28;2026-06-28;66666666-6666-6666-6666-666666666603
88888888-8888-8888-8888-888888888806;RM-2026-0006;CREATED;2026-06-29;2026-06-29;66666666-6666-6666-6666-666666666604
88888888-8888-8888-8888-888888888807;RM-2026-0007;VALIDATED;2026-06-30;2026-06-30;66666666-6666-6666-6666-666666666605
88888888-8888-8888-8888-888888888808;RM-2026-0008;REJECTED;2026-07-01;2026-07-01;66666666-6666-6666-6666-666666666606
88888888-8888-8888-8888-888888888809;RM-2026-0009;CREATED;2026-07-02;2026-07-02;66666666-6666-6666-6666-666666666607
88888888-8888-8888-8888-888888888810;RM-2026-0010;VALIDATED;2026-07-03;2026-07-03;66666666-6666-6666-6666-666666666608
88888888-8888-8888-8888-888888888811;RM-2026-0011;REJECTED;2026-07-04;2026-07-04;66666666-6666-6666-6666-666666666609
88888888-8888-8888-8888-888888888812;RM-2026-0012;CREATED;2026-07-05;2026-07-05;66666666-6666-6666-6666-666666666610
88888888-8888-8888-8888-888888888813;RM-2026-0013;VALIDATED;2026-07-06;2026-07-06;66666666-6666-6666-6666-666666666611
88888888-8888-8888-8888-888888888814;RM-2026-0014;REJECTED;2026-07-07;2026-07-07;66666666-6666-6666-6666-666666666612
88888888-8888-8888-8888-888888888815;RM-2026-0015;CREATED;2026-07-08;2026-07-08;66666666-6666-6666-6666-666666666613
88888888-8888-8888-8888-888888888816;RM-2026-0016;VALIDATED;2026-07-09;2026-07-09;66666666-6666-6666-6666-666666666614
88888888-8888-8888-8888-888888888817;RM-2026-0017;REJECTED;2026-07-10;2026-07-10;66666666-6666-6666-6666-666666666615
88888888-8888-8888-8888-888888888818;RM-2026-0018;CREATED;2026-07-11;2026-07-11;66666666-6666-6666-6666-666666666616
88888888-8888-8888-8888-888888888819;RM-2026-0019;VALIDATED;2026-07-12;2026-07-12;66666666-6666-6666-6666-666666666617
88888888-8888-8888-8888-888888888820;RM-2026-0020;REJECTED;2026-07-13;2026-07-13;66666666-6666-6666-6666-666666666618